sport_type,knee_flexion,hip_angle,elbow_angle,shoulder_rotation,trunk_lean,knee_valgus_angle,symmetry,flag_knee_hyperext,flag_knee_valgus,flag_trunk_lean,flag_low_symmetry,risk_level,risk_label
BASEBALL,88.38,107.2,41.72,185.0,43.56,144.13,49.57,1,1,1,1,3,critical
BASEBALL,99.43,107.11,51.33,179.19,59.33,160.03,58.14,0,1,1,1,2,high
TENNIS,103.5,130.23,94.96,176.36,33.39,151.19,58.29,0,1,1,1,2,high
BOXING,120.41,121.91,120.63,137.28,36.51,149.64,60.6,0,1,1,1,2,high
CRICKET,109.4,136.58,88.78,169.79,26.99,167.22,74.18,0,0,0,1,1,moderate
SWIMMING,144.26,153.71,103.34,145.53,6.57,174.18,92.97,0,0,0,0,0,low
BOXING,86.96,113.41,91.83,171.74,43.91,145.0,47.9,1,1,1,1,3,critical
AMERICAN_FOOTBALL,98.35,127.3,74.45,134.89,38.68,149.54,50.86,1,1,1,1,2,high
AMERICAN_FOOTBALL,116.39,128.41,89.93,109.08,42.36,161.02,72.08,0,1,1,1,1,moderate
WRESTLING,123.39,132.56,103.3,108.64,32.64,172.28,76.14,0,0,1,1,0,low
BADMINTON,75.5,114.38,58.67,175.3,53.84,146.38,52.75,0,1,1,1,3,critical
BASKETBALL,138.87,160.74,126.09,102.8,16.68,176.15,94.59,0,0,0,0,0,low
BOXING,79.1,95.07,107.18,168.76,48.43,141.94,43.91,1,1,1,1,3,critical
BOXING,116.79,127.45,112.25,136.63,40.31,157.92,48.66,0,1,1,1,2,high
CYCLING,121.74,144.74,112.62,85.62,32.68,162.38,74.86,0,1,1,1,1,moderate
TRACK,102.95,134.41,60.12,97.71,27.68,159.55,67.97,0,1,0,1,2,high
CYCLING,120.88,137.41,125.78,82.29,27.79,169.39,78.72,0,0,0,1,1,moderate
CYCLING,99.73,121.46,87.78,96.61,43.51,159.12,65.14,1,1,1,1,2,high
WRESTLING,30.0,82.03,42.33,165.86,79.79,139.23,40.16,0,1,1,1,3,critical
CYCLING,86.28,110.55,62.41,130.83,59.7,136.36,52.14,1,1,1,1,3,critical
TENNIS,131.06,153.18,136.03,163.45,29.77,173.67,94.0,0,0,0,0,0,low
BASEBALL,146.08,151.16,130.05,164.98,13.44,171.96,70.79,0,0,0,1,0,low
CRICKET,74.77,114.69,73.53,181.13,40.42,154.05,56.29,1,1,1,1,2,high
AMERICAN_FOOTBALL,109.22,125.3,66.68,126.05,49.43,162.22,62.08,0,1,1,1,2,high
SWIMMING,100.42,129.85,61.31,168.19,26.04,156.55,66.38,0,1,0,1,2,high
BOXING,103.18,131.02,112.54,121.66,41.55,155.77,60.6,0,1,1,1,2,high
SOCCER,122.79,151.43,123.89,83.99,16.38,164.79,72.94,0,1,0,1,1,moderate
CYCLING,81.01,101.23,68.19,119.03,55.34,146.06,50.66,1,1,1,1,3,critical
BOXING,146.31,152.49,150.39,95.65,10.11,173.24,81.75,0,0,0,0,0,low
SOCCER,115.86,146.74,122.98,93.48,19.09,166.34,75.48,0,0,0,1,1,moderate
GYMNASTICS,118.61,107.81,138.49,173.45,34.89,167.64,89.41,0,0,1,0,0,low
BASKETBALL,103.33,121.87,96.49,107.72,25.58,160.8,72.4,0,1,0,1,1,moderate
RUGBY,124.86,134.32,111.76,99.87,29.22,167.62,84.76,0,0,0,0,0,low
OTHER,108.77,130.12,82.79,138.94,28.27,153.25,66.89,0,1,0,1,2,high
OTHER,99.27,126.98,99.48,124.21,31.18,162.24,72.85,0,1,1,1,2,high
VOLLEYBALL,65.9,103.85,61.83,180.43,47.61,140.23,45.82,1,1,1,1,3,critical
SOCCER,92.84,135.14,111.42,105.85,29.4,159.66,70.81,1,1,1,1,2,high
TRACK,75.95,116.24,37.68,121.91,27.68,146.94,54.77,1,1,0,1,3,critical
SWIMMING,139.19,153.31,111.93,148.97,6.21,174.29,91.12,0,0,0,0,0,low
SOCCER,115.17,145.55,115.63,79.47,21.27,163.58,74.97,0,1,0,1,1,moderate
BADMINTON,152.47,162.23,121.26,137.31,18.38,166.23,86.54,0,0,0,0,0,low
BADMINTON,131.75,161.85,124.72,155.18,17.1,173.8,73.3,0,0,0,1,0,low
BADMINTON,50.89,99.68,55.26,177.6,55.8,154.4,51.16,1,1,1,1,3,critical
RUGBY,112.38,140.89,87.48,133.99,25.67,163.31,70.94,0,1,0,1,1,moderate
WRESTLING,80.69,92.09,64.74,140.08,71.18,154.14,47.17,1,1,1,1,2,high
RUGBY,116.03,126.53,92.15,118.83,35.25,161.27,77.73,0,1,1,1,1,moderate
AMERICAN_FOOTBALL,125.93,164.92,131.39,90.91,37.69,160.28,92.34,0,1,1,0,0,low
SWIMMING,147.06,159.87,95.81,148.15,15.06,177.2,90.61,0,0,0,0,0,low
SWIMMING,96.77,115.05,47.37,177.8,40.91,150.87,53.6,1,1,1,1,3,critical
SOCCER,116.84,156.33,138.36,78.39,17.19,167.9,82.68,0,0,0,0,1,moderate
BASEBALL,122.47,142.53,78.32,178.75,31.38,164.45,58.94,0,1,1,1,1,moderate
SOCCER,129.63,165.73,136.28,60.33,10.44,170.5,83.69,0,0,0,0,0,low
CRICKET,118.09,143.84,98.94,164.85,18.21,171.24,79.24,0,0,0,1,0,low
CYCLING,130.09,141.81,102.38,82.07,32.42,166.24,80.03,0,0,1,0,1,moderate
BASEBALL,142.08,149.47,107.0,169.63,22.89,170.9,88.01,0,0,0,0,0,low
CYCLING,84.61,112.43,60.68,105.73,55.35,149.02,51.66,1,1,1,1,3,critical
BOXING,110.42,134.96,107.9,129.66,41.4,162.31,68.31,1,1,1,1,2,high
BOXING,118.12,120.64,116.29,113.03,31.92,156.18,70.67,0,1,1,1,2,high
SWIMMING,128.31,131.11,99.44,164.95,17.19,165.73,77.72,0,0,0,1,1,moderate
OTHER,148.15,155.3,122.03,92.23,13.41,176.49,82.39,0,0,0,0,0,low
RUGBY,91.36,89.6,77.67,135.93,36.05,151.15,53.79,0,1,1,1,2,high
OTHER,94.37,111.49,87.78,133.19,31.81,157.47,57.92,1,1,1,1,2,high
RUGBY,62.38,95.31,40.24,151.43,58.27,137.44,39.74,1,1,1,1,3,critical
WRESTLING,66.35,91.55,62.36,149.28,66.29,140.81,53.4,0,1,1,1,2,high
BASEBALL,125.22,138.03,75.75,178.38,20.71,163.52,63.85,0,1,0,1,1,moderate
BOXING,78.97,92.86,95.36,146.41,48.68,153.14,40.4,0,1,1,1,3,critical
BOXING,87.25,104.89,96.09,146.81,33.46,154.45,38.05,1,1,1,1,3,critical
TRACK,127.72,166.74,81.86,55.99,12.51,173.67,91.59,0,0,0,0,0,low
AMERICAN_FOOTBALL,90.31,110.75,60.61,132.64,50.81,154.39,61.73,0,1,1,1,2,high
BADMINTON,64.65,108.13,58.03,182.98,54.67,142.47,52.48,1,1,1,1,3,critical
GYMNASTICS,90.98,122.85,146.07,151.88,36.88,170.36,84.33,0,0,1,0,0,low
VOLLEYBALL,100.24,138.19,116.75,148.09,22.83,162.18,70.76,0,1,0,1,1,moderate
BOXING,117.8,127.13,143.82,133.47,24.37,161.49,76.12,0,1,0,1,1,moderate
VOLLEYBALL,95.49,112.22,91.39,155.61,26.83,157.37,68.7,0,1,0,1,2,high
GYMNASTICS,74.98,96.6,127.14,183.15,32.01,158.73,71.55,0,1,1,1,1,moderate
TRACK,98.12,134.38,43.51,104.51,31.15,164.52,70.76,0,1,1,1,2,high
CRICKET,101.34,127.65,88.98,167.58,30.78,164.65,60.56,0,1,1,1,1,moderate
BOXING,118.91,117.33,115.92,122.63,35.66,150.54,55.67,0,1,1,1,2,high
TENNIS,133.28,156.72,127.21,155.14,22.01,173.64,84.03,0,0,0,0,0,low
OTHER,101.65,121.51,75.36,123.89,31.06,157.73,58.51,1,1,1,1,2,high
AMERICAN_FOOTBALL,69.66,104.82,61.83,163.68,45.58,145.38,58.06,1,1,1,1,3,critical
RUGBY,108.74,137.38,94.0,143.75,38.39,158.84,76.49,0,1,1,1,1,moderate
BASEBALL,111.13,128.66,53.26,177.86,53.69,159.83,47.43,0,1,1,1,2,high
GYMNASTICS,116.16,122.24,163.72,157.36,32.21,162.26,82.87,0,1,1,0,0,low
CYCLING,102.01,120.69,90.27,106.59,40.56,156.31,76.75,0,1,1,1,2,high
OTHER,140.8,164.89,156.45,100.75,17.47,169.79,92.92,0,0,0,0,0,low
AMERICAN_FOOTBALL,127.71,124.0,101.47,113.03,46.92,160.84,76.99,0,1,1,1,1,moderate
OTHER,76.05,104.28,62.36,176.15,49.74,152.74,46.29,1,1,1,1,3,critical
HOCKEY,73.21,102.17,49.22,145.41,63.46,144.86,51.89,1,1,1,1,3,critical
SWIMMING,89.38,112.11,55.64,182.99,30.42,151.1,50.5,1,1,1,1,3,critical
SWIMMING,127.8,144.59,80.61,161.79,15.55,161.69,75.78,0,1,0,1,1,moderate
OTHER,107.41,120.81,69.93,142.0,41.21,163.19,66.68,0,1,1,1,2,high
OTHER,136.67,163.2,116.86,107.85,8.59,173.61,79.27,0,0,0,1,0,low
SWIMMING,89.84,113.1,44.32,182.63,45.25,151.07,59.8,1,1,1,1,3,critical
GYMNASTICS,72.94,109.3,134.77,165.65,35.6,156.87,72.19,0,1,1,1,1,moderate
CYCLING,129.63,138.3,115.75,88.65,29.57,169.39,67.66,0,0,1,1,1,moderate
RUGBY,101.41,110.27,61.97,152.02,37.41,152.45,58.87,0,1,1,1,2,high
BASKETBALL,66.58,101.06,72.38,132.13,35.95,146.77,44.08,1,1,1,1,3,critical
BOXING,133.02,133.12,136.4,132.57,22.5,169.14,81.09,0,0,0,0,1,moderate
BADMINTON,140.32,147.8,104.04,143.67,19.07,167.47,82.21,0,0,0,0,0,low
TENNIS,134.09,163.6,118.45,163.31,24.93,168.63,79.78,0,0,0,1,0,low
SWIMMING,94.43,114.34,66.24,169.71,23.83,158.45,74.0,1,1,0,1,2,high
SWIMMING,82.83,101.63,59.91,181.26,42.14,146.79,41.9,1,1,1,1,3,critical
CRICKET,140.8,154.4,108.8,150.26,22.73,175.56,79.26,0,0,0,1,0,low
BASKETBALL,133.31,129.78,89.17,112.34,32.58,162.49,78.67,0,1,1,1,1,moderate
BADMINTON,65.75,96.19,55.82,178.94,37.81,140.05,51.29,1,1,1,1,3,critical
SWIMMING,147.57,149.1,103.55,153.93,12.43,165.92,97.78,0,0,0,0,0,low
WRESTLING,60.72,94.16,65.44,142.88,64.28,142.95,61.95,0,1,1,1,2,high
RUGBY,63.68,98.04,53.4,137.0,63.54,139.01,47.46,0,1,1,1,3,critical
TRACK,99.0,137.12,56.19,86.82,30.12,157.11,84.59,0,1,1,1,2,high
BOXING,132.02,136.76,142.54,125.58,14.14,165.78,68.63,0,0,0,1,1,moderate
WRESTLING,42.04,62.46,39.76,163.88,65.93,133.2,35.0,0,1,1,1,3,critical
TRACK,82.11,114.25,36.56,123.17,30.06,147.97,57.6,1,1,1,1,3,critical
BASEBALL,132.13,127.8,90.52,172.87,27.69,165.66,66.08,0,0,0,1,1,moderate
SOCCER,125.48,155.79,107.73,103.51,23.8,164.89,79.75,0,1,0,1,1,moderate
TRACK,87.49,115.33,31.56,113.37,31.18,151.81,70.0,1,1,1,1,3,critical
BOXING,140.11,157.12,160.79,120.13,14.55,168.89,86.0,0,0,0,0,0,low
VOLLEYBALL,82.11,121.34,82.47,164.25,39.89,154.61,73.19,1,1,1,1,2,high
VOLLEYBALL,69.28,112.0,68.25,165.89,53.12,144.6,62.58,0,1,1,1,3,critical
TRACK,119.66,130.21,54.27,87.17,24.33,156.43,65.98,1,1,0,1,2,high
HOCKEY,124.79,129.41,111.04,98.35,32.93,168.35,90.69,0,0,1,0,0,low
TENNIS,95.43,128.65,80.57,177.26,34.79,151.53,56.63,0,1,1,1,2,high
SOCCER,117.96,155.18,132.93,88.38,13.86,168.49,78.85,0,0,0,1,1,moderate
BASEBALL,135.06,136.8,70.09,177.48,26.36,166.47,64.26,0,0,0,1,1,moderate
CRICKET,79.61,102.03,70.66,173.57,33.65,152.29,51.35,1,1,1,1,2,high
OTHER,156.8,152.78,149.5,107.53,17.45,171.08,89.27,0,0,0,0,0,low
TRACK,143.5,167.08,89.14,66.34,13.5,177.49,91.9,0,0,0,0,0,low
BASEBALL,137.26,152.96,103.26,173.82,23.81,170.4,75.36,0,0,0,1,0,low
TENNIS,107.73,128.0,82.94,174.97,38.86,157.9,60.36,0,1,1,1,2,high
GYMNASTICS,115.48,138.14,161.63,181.38,37.62,165.07,94.81,0,0,1,0,0,low
TENNIS,94.72,131.84,96.64,177.43,42.92,163.11,58.79,0,1,1,1,2,high
CYCLING,99.1,121.69,95.74,100.52,35.18,157.29,60.06,0,1,1,1,2,high
SOCCER,107.55,147.02,120.68,99.46,22.7,165.3,72.76,0,0,0,1,1,moderate
BOXING,93.55,101.13,93.09,159.6,51.1,146.13,49.3,1,1,1,1,3,critical
GYMNASTICS,39.59,48.23,64.78,185.0,58.37,140.2,52.16,1,1,1,1,3,critical
TRACK,114.24,154.0,72.53,96.95,13.95,161.76,77.89,0,1,0,1,1,moderate
BASEBALL,124.71,134.24,70.89,176.52,37.39,168.08,65.52,0,0,1,1,1,moderate
VOLLEYBALL,109.56,135.61,93.16,153.06,18.9,164.66,78.55,0,1,0,1,1,moderate
CRICKET,111.35,116.68,90.09,172.12,28.98,158.22,68.7,0,1,0,1,1,moderate
GYMNASTICS,110.81,119.27,126.64,172.16,31.32,172.71,87.66,0,0,1,0,0,low
BASKETBALL,96.35,134.98,99.59,108.54,27.03,161.83,81.3,0,1,0,0,1,moderate
TRACK,134.15,166.23,90.65,66.49,4.51,176.95,98.84,0,0,0,0,0,low
HOCKEY,99.14,101.76,84.5,149.76,52.14,152.89,65.58,0,1,1,1,2,high
BADMINTON,92.2,119.67,69.73,178.3,33.44,153.85,56.53,1,1,1,1,2,high
BOXING,88.33,112.99,89.58,151.38,45.45,150.62,40.69,1,1,1,1,3,critical
BASKETBALL,71.08,117.62,50.82,153.69,46.64,145.88,46.19,1,1,1,1,3,critical
VOLLEYBALL,62.45,102.26,55.1,168.39,38.9,153.65,38.43,1,1,1,1,3,critical
WRESTLING,83.15,100.88,95.35,115.22,61.97,162.19,68.77,0,1,1,1,1,moderate
RUGBY,130.55,164.6,109.87,107.1,24.22,166.73,91.22,0,0,0,0,0,low
BADMINTON,79.03,106.73,54.0,180.27,58.11,148.14,40.62,1,1,1,1,3,critical
BASKETBALL,60.99,110.86,62.66,153.27,40.3,149.36,58.3,1,1,1,1,3,critical
OTHER,136.66,154.97,131.32,96.38,7.37,174.73,78.11,0,0,0,1,0,low
VOLLEYBALL,80.62,113.23,57.93,179.24,55.31,156.02,51.92,1,1,1,1,3,critical
SOCCER,102.15,130.72,110.01,91.13,32.65,156.42,60.16,0,1,1,1,2,high
BASKETBALL,128.64,166.46,117.8,89.76,10.07,175.3,99.84,0,0,0,0,0,low
RUGBY,154.46,117.66,124.94,98.99,22.09,172.19,85.9,0,0,0,0,0,low
BASEBALL,107.5,121.73,77.67,182.77,53.88,156.12,59.17,0,1,1,1,2,high
CYCLING,142.24,158.47,140.5,71.73,22.21,171.31,86.68,0,0,0,0,0,low
TENNIS,88.0,121.23,53.55,179.7,55.69,148.34,47.28,0,1,1,1,3,critical
TRACK,84.68,118.3,38.66,109.04,33.72,159.93,53.86,1,1,1,1,3,critical
VOLLEYBALL,100.74,115.77,109.64,163.59,15.81,164.26,83.51,0,1,0,0,1,moderate
HOCKEY,93.27,105.82,72.0,130.11,53.3,145.15,65.85,0,1,1,1,2,high
TENNIS,89.77,128.88,98.1,175.78,42.79,160.4,59.76,1,1,1,1,2,high
TENNIS,118.29,138.1,106.02,161.22,33.6,164.53,65.94,0,1,1,1,1,moderate
BOXING,131.36,136.4,123.51,94.35,24.24,156.91,73.66,0,1,0,1,1,moderate
AMERICAN_FOOTBALL,89.96,115.86,65.6,142.44,58.44,165.24,65.91,0,1,1,1,2,high
VOLLEYBALL,117.96,156.65,122.79,135.99,3.06,168.72,93.48,0,0,0,0,0,low
SWIMMING,115.71,138.12,69.03,176.88,29.54,160.6,59.89,0,1,1,1,2,high
CYCLING,138.5,150.65,122.79,72.02,26.67,173.84,87.05,0,0,0,0,0,low
BOXING,87.0,109.23,99.89,152.2,51.99,150.16,39.7,0,1,1,1,3,critical
BOXING,107.52,84.09,101.42,139.5,59.49,151.87,42.77,1,1,1,1,3,critical
WRESTLING,47.79,52.94,45.46,174.97,77.29,141.33,52.41,1,1,1,1,3,critical
TRACK,105.35,131.82,59.7,94.39,21.84,149.7,81.74,1,1,0,1,2,high
WRESTLING,87.36,105.64,97.64,120.32,58.57,162.64,72.24,0,1,1,1,1,moderate
SWIMMING,112.04,116.05,64.96,173.48,31.21,159.74,76.36,0,1,1,1,2,high
CYCLING,123.92,135.23,108.84,84.67,29.05,163.79,79.94,0,1,0,1,1,moderate
BASEBALL,143.39,125.33,89.7,175.57,28.05,158.95,69.53,0,1,0,1,1,moderate
SOCCER,115.21,157.32,117.29,96.11,23.05,162.76,73.78,0,1,0,1,1,moderate
GYMNASTICS,66.67,104.23,126.76,166.68,45.43,158.77,71.47,0,1,1,1,1,moderate
AMERICAN_FOOTBALL,80.61,91.4,54.67,167.24,64.97,141.04,53.18,1,1,1,1,3,critical
CYCLING,105.07,139.02,107.99,84.31,30.41,164.43,75.79,0,1,1,1,1,moderate
BASEBALL,89.34,91.38,41.19,180.45,57.9,146.55,28.88,1,1,1,1,3,critical
BASKETBALL,73.71,119.78,56.93,148.65,41.02,148.9,54.73,0,1,1,1,3,critical
BOXING,142.94,159.51,156.49,90.49,19.8,173.27,87.15,0,0,0,0,0,low
BADMINTON,92.87,114.0,84.43,174.73,28.78,153.05,64.84,0,1,1,1,2,high
SOCCER,136.27,171.72,148.55,89.48,10.94,173.12,91.7,0,0,0,0,0,low
BADMINTON,120.17,139.6,117.19,163.17,22.86,163.91,72.84,0,1,0,1,1,moderate
HOCKEY,96.85,107.73,87.08,135.54,56.85,150.85,51.56,0,1,1,1,2,high
SOCCER,102.76,127.48,117.04,117.83,29.78,160.32,68.78,0,1,1,1,2,high
CYCLING,124.84,142.52,96.97,92.62,34.35,166.11,80.36,0,0,1,0,1,moderate
RUGBY,78.0,110.92,71.27,145.03,41.54,153.09,63.22,1,1,1,1,2,high
VOLLEYBALL,65.4,100.81,56.14,180.65,45.0,136.88,34.97,0,1,1,1,3,critical
WRESTLING,39.29,72.28,43.88,156.19,70.74,135.26,54.35,1,1,1,1,3,critical
SWIMMING,122.0,117.34,73.3,177.41,21.92,161.96,70.92,0,1,0,1,2,high
SWIMMING,159.14,165.12,105.44,138.38,4.82,175.03,91.88,0,0,0,0,0,low
TENNIS,119.19,134.97,118.41,165.43,23.18,161.97,74.21,0,1,1,1,1,moderate
OTHER,131.56,150.71,114.98,91.58,17.01,172.21,85.02,0,0,0,0,0,low
SWIMMING,125.65,156.39,102.23,164.3,20.82,169.94,85.11,0,0,0,0,1,moderate
WRESTLING,44.86,75.58,52.9,165.58,86.41,133.3,50.68,1,1,1,1,3,critical
BASEBALL,137.68,149.28,84.18,172.97,22.01,172.98,77.75,0,0,0,1,0,low
VOLLEYBALL,132.03,143.29,111.18,119.0,12.13,172.83,85.65,0,0,0,0,0,low
BASEBALL,91.15,111.28,43.22,182.61,68.57,149.6,57.99,0,1,1,1,3,critical
BADMINTON,71.38,127.2,52.42,183.5,45.95,144.1,49.39,1,1,1,1,3,critical
GYMNASTICS,33.02,61.79,89.67,185.0,80.9,148.39,43.31,0,1,1,1,3,critical
CYCLING,111.55,141.14,130.53,81.79,30.05,163.53,76.16,0,1,1,1,1,moderate
SWIMMING,149.32,165.57,91.91,148.84,8.65,174.44,93.19,0,0,0,0,0,low
CRICKET,84.93,95.49,80.61,174.95,44.07,157.55,57.08,0,1,1,1,2,high
BADMINTON,76.05,101.91,62.91,179.4,54.56,147.32,49.03,1,1,1,1,3,critical
TRACK,134.05,166.96,89.38,66.61,11.9,170.45,93.53,0,0,0,0,0,low
RUGBY,125.67,128.59,72.4,138.38,31.25,157.39,83.22,0,1,1,0,1,moderate
WRESTLING,62.64,75.5,79.59,143.48,78.59,149.58,61.2,1,1,1,1,2,high
BOXING,144.45,140.7,146.58,102.8,14.84,170.27,77.32,0,0,0,1,0,low
SWIMMING,106.92,124.02,71.09,175.8,25.55,155.97,68.24,0,1,0,1,2,high
SOCCER,116.16,146.11,107.77,78.47,18.39,156.72,81.2,0,1,1,0,1,moderate
BASEBALL,100.62,127.22,60.55,179.56,41.96,156.29,58.9,1,1,1,1,2,high
RUGBY,63.13,100.91,46.31,156.0,57.6,144.05,43.39,1,1,1,1,3,critical
SOCCER,119.88,137.64,113.54,101.32,11.97,167.85,76.13,0,0,0,1,1,moderate
AMERICAN_FOOTBALL,64.79,91.31,65.41,152.95,73.81,144.32,51.49,1,1,1,1,3,critical
BASEBALL,92.1,110.94,39.01,184.4,62.42,148.83,46.96,1,1,1,1,3,critical
CRICKET,100.81,148.24,105.27,168.06,31.28,169.37,66.21,0,0,1,1,1,moderate
GYMNASTICS,90.78,87.73,127.42,182.58,37.88,154.79,78.33,0,1,1,1,1,moderate
BASEBALL,83.11,113.54,25.87,182.67,60.73,136.81,40.39,0,1,1,1,3,critical
AMERICAN_FOOTBALL,77.45,99.86,52.36,157.78,64.28,135.06,45.72,1,1,1,1,3,critical
SWIMMING,105.57,135.75,67.46,184.35,25.35,155.81,70.31,1,1,0,1,2,high
BASEBALL,139.58,161.91,114.24,156.08,16.38,167.58,84.62,0,0,0,0,0,low
OTHER,114.5,149.5,112.74,111.47,20.28,165.39,76.23,0,0,0,1,1,moderate
RUGBY,95.63,135.89,93.0,131.25,34.53,163.9,66.79,0,1,1,1,1,moderate
SOCCER,115.35,160.26,134.5,103.47,20.1,168.47,78.46,0,0,0,1,1,moderate
BOXING,139.49,168.85,155.05,115.31,15.64,173.42,80.88,0,0,0,0,0,low
BADMINTON,70.88,96.74,59.36,183.73,49.0,139.69,52.17,1,1,1,1,3,critical
BASKETBALL,119.26,138.63,92.65,119.56,27.92,161.51,73.98,0,1,1,1,1,moderate
VOLLEYBALL,100.35,130.63,110.17,138.69,20.17,162.21,79.1,0,1,0,1,1,moderate
HOCKEY,127.5,141.3,122.75,75.99,32.04,167.72,83.08,0,0,1,0,0,low
BADMINTON,112.28,146.13,109.72,159.23,23.68,166.03,67.94,0,0,0,1,1,moderate
RUGBY,116.56,129.37,80.4,114.37,29.26,160.02,69.88,0,1,1,1,1,moderate
TRACK,144.29,173.0,91.55,52.32,4.48,174.19,92.35,0,0,0,0,0,low
WRESTLING,47.94,62.46,49.77,177.66,81.16,135.86,49.22,1,1,1,1,3,critical
GYMNASTICS,51.51,54.66,79.14,185.0,64.61,133.95,48.78,0,1,1,1,3,critical
RUGBY,124.99,144.25,107.8,93.72,31.73,167.09,85.91,0,0,1,0,0,low
RUGBY,79.18,90.35,36.94,155.98,73.27,140.69,42.53,1,1,1,1,3,critical
OTHER,126.63,143.78,113.44,129.17,15.73,162.09,78.12,0,1,0,1,1,moderate
SWIMMING,86.88,105.81,48.8,179.91,33.46,144.66,58.87,1,1,1,1,3,critical
CYCLING,139.13,147.38,122.11,81.12,15.2,171.11,83.61,0,0,0,0,0,low
TRACK,151.32,161.48,79.74,66.02,5.42,176.96,99.11,0,0,0,0,0,low
BADMINTON,69.78,97.64,37.61,183.96,40.29,140.91,37.18,1,1,1,1,3,critical
GYMNASTICS,80.84,88.23,111.12,179.1,38.09,160.23,80.59,0,1,1,0,1,moderate
BADMINTON,137.65,149.58,115.66,145.65,15.41,171.89,88.71,0,0,0,0,0,low
TRACK,100.48,138.52,60.21,96.82,24.35,157.13,68.24,0,1,1,1,2,high
HOCKEY,61.95,91.33,43.16,157.85,56.81,142.53,43.54,1,1,1,1,3,critical
BASEBALL,143.52,146.75,90.89,164.49,28.88,171.44,71.8,0,0,0,1,0,low
BASEBALL,111.75,124.11,52.01,177.14,38.11,154.82,56.36,1,1,1,1,2,high
HOCKEY,117.85,103.07,91.95,107.56,42.64,164.11,76.18,0,1,1,1,1,moderate
SOCCER,80.77,111.94,76.87,127.96,51.04,148.12,58.91,1,1,1,1,3,critical
OTHER,152.3,151.35,116.9,84.79,18.45,170.41,87.33,0,0,0,0,0,low
GYMNASTICS,63.49,71.21,108.33,179.63,52.0,147.97,70.96,1,1,1,1,2,high
BASKETBALL,130.39,155.28,111.58,82.05,6.39,177.25,87.02,0,0,0,0,0,low
SOCCER,102.23,132.07,83.18,116.26,41.98,157.25,60.14,1,1,1,1,2,high
BASEBALL,104.22,117.26,59.57,177.8,35.7,157.41,54.43,0,1,1,1,2,high
BADMINTON,124.88,138.99,90.51,165.74,20.97,164.84,67.51,0,1,0,1,1,moderate
HOCKEY,111.7,121.83,87.96,121.53,39.7,157.65,70.7,0,1,1,1,1,moderate
TENNIS,115.25,151.42,90.63,168.38,31.11,162.33,72.0,0,1,1,1,1,moderate
CRICKET,135.88,142.91,113.44,162.3,19.84,170.9,87.62,0,0,0,0,0,low
BADMINTON,129.29,159.09,112.13,156.12,16.65,168.93,83.72,0,0,0,0,0,low
BADMINTON,97.26,115.71,76.46,162.01,37.52,154.97,64.21,1,1,1,1,2,high
CYCLING,87.81,108.02,65.59,105.88,56.19,142.66,43.58,1,1,1,1,3,critical
BADMINTON,77.62,100.37,48.64,184.09,51.59,138.23,36.8,0,1,1,1,3,critical
WRESTLING,45.68,90.44,75.81,144.17,64.83,144.56,61.68,0,1,1,1,2,high
BOXING,136.7,139.4,132.89,120.88,25.04,163.15,82.78,0,1,0,0,1,moderate
SOCCER,142.11,167.22,146.43,73.72,9.9,175.33,93.1,0,0,0,0,0,low
WRESTLING,122.16,137.78,114.45,139.0,37.52,165.45,76.55,0,0,1,1,0,low
CYCLING,83.55,98.48,71.65,129.63,56.31,141.21,57.73,0,1,1,1,3,critical
SOCCER,112.11,146.51,121.33,110.55,14.74,165.86,67.68,0,0,0,1,1,moderate
BADMINTON,130.92,150.49,96.96,143.97,11.78,170.43,83.74,0,0,0,0,0,low
HOCKEY,84.73,102.92,79.44,128.56,44.64,154.1,61.84,1,1,1,1,2,high
AMERICAN_FOOTBALL,129.14,148.42,107.19,105.28,22.38,170.32,84.46,0,0,0,0,0,low
HOCKEY,112.09,135.74,126.07,84.31,23.27,172.76,81.67,0,0,0,0,0,low
BOXING,148.08,155.49,154.27,114.2,14.99,173.9,89.86,0,0,0,0,0,low
BASEBALL,113.82,104.01,60.4,180.82,46.26,151.07,58.86,1,1,1,1,2,high
TRACK,125.32,150.25,73.57,88.15,19.7,168.21,87.44,0,0,0,0,1,moderate
HOCKEY,67.18,91.09,44.03,155.94,61.63,143.87,39.29,1,1,1,1,3,critical
WRESTLING,88.27,119.68,90.87,108.01,38.72,164.53,90.77,0,1,1,0,0,low
GYMNASTICS,129.43,109.16,154.32,169.41,22.31,166.6,86.49,0,0,0,0,0,low
SOCCER,103.39,123.51,106.3,102.48,34.61,155.68,60.49,1,1,1,1,2,high
TENNIS,114.49,114.18,83.12,180.24,41.95,160.22,62.34,0,1,1,1,2,high
HOCKEY,126.5,137.27,123.97,94.17,36.57,172.48,73.46,0,0,1,1,0,low
GYMNASTICS,112.71,118.61,162.89,172.9,21.22,164.42,92.65,0,1,0,0,0,low
BOXING,142.29,153.23,161.48,125.07,13.12,170.61,84.89,0,0,0,0,0,low
GYMNASTICS,127.65,93.07,157.26,174.96,21.18,170.92,98.44,0,0,0,0,0,low
WRESTLING,87.41,92.17,93.33,116.6,44.18,153.49,59.93,0,1,1,1,1,moderate
TENNIS,78.33,118.61,58.92,182.1,50.97,154.41,46.78,1,1,1,1,3,critical
CRICKET,61.51,86.28,59.51,185.0,59.0,140.17,49.68,1,1,1,1,3,critical
